-0.17,0.86,0.13,-1,24.3,0.057,0
-0.25,1.51,0.03,-1,24.3,0.051,0
-0.27,1.63,0.02,-1,24.3,0.045,0
-0.18,1.22,-0.27,-1,24.3,0.04,0
-0.04,0.51,-0.12,-1,24.3,0.036,0
0.04,0.1,0,-1,24.3,0.032,0
-0.13,0.26,-0.27,-1,24.3,0.03,0
0.01,-0.04,-0.5,-1,24.3,0.028,0
-0.1,-0.49,-0.8,-1,24.3,0.018,0
-1.02,0.23,-1,-1,24.3,0.016,0
-0.99,0.54,-0.77,-1,24.3,0.011,0
-1.04,1.32,-0.86,-1,24.3,0.009,0
-0.61,0.93,-0.45,-1,24.3,0.007,0
-0.26,0.38,-0.17,-1,24.3,0.009,0
-0.22,0.36,-0.29,-1,24.3,0.009,0
-0.77,0.54,-0.7,-1,24.3,0.013,0
-0.43,0.91,-0.66,-1,24.3,0.016,0
-0.41,0.38,-0.65,-1,24.3,0.02,0
-0.43,0.42,-0.59,-1,24.3,0.026,0
-0.46,0.63,-0.48,-1,24.3,0.036,0
-0.42,0.68,-0.49,-1,24.5,0.041,0
-0.5,0.83,-0.34,-1,24.3,0.047,0
-0.31,0.53,-0.33,-1,24.3,0.051,0
-0.39,0.56,-0.39,-1,24.3,0.055,0
-0.25,-0.38,0.27,-1,24.5,0.057,0
-0.24,0.23,-0.25,-1,24.5,0.059,0
-0.32,1.15,-0.6,-1,24.3,0.063,0
-0.4,0.8,-0.73,-1,24.3,0.063,0
-0.36,0.35,-0.85,-1,24.3,0.067,0
-0.45,0.42,-0.88,-1,24.5,0.069,0
-0.52,0.37,-0.79,-1,24.3,0.071,0
-0.39,0.52,-0.58,-1,24.5,0.075,0
-0.44,0.62,-0.57,-1,24.3,0.077,0
-0.59,0.33,-0.73,-1,24.3,0.079,0
-1,0.25,-0.83,-1,24.3,0.083,0
-1.11,0.35,-0.53,-1,24.3,0.079,0
-1,0.5,-0.38,-1,24.5,0.079,0
-0.49,0.5,-0.1,-1,24.3,0.079,0
0.28,0.53,-0.45,-1,24.5,0.083,0
0.52,0.71,-0.46,-1,24.3,0.085,0
0.23,0.81,0.08,-1,24.3,0.085,0
-0.17,0.53,-0.15,-1,24.5,0.089,0
-1,0,-0.62,-1,24.5,0.095,0
-0.95,-0.74,-0.69,-1,24.3,0.104,0
-1.13,-0.01,-0.24,-1,24.3,0.112,0
-1.05,0.71,0.28,-1,24.3,0.118,0
-1.09,1,-0.35,-1,24.3,0.12,0
-1.07,0.71,-0.66,-1,24.3,0.12,0
-0.81,0.18,-0.37,-1,24.3,0.12,0
-0.84,0.34,-0.56,-1,24.3,0.12,0
-0.8,0.48,-0.42,-1,24.3,0.118,0
-0.79,0.64,-0.26,-1,24.5,0.116,0
-0.83,0.53,-0.31,-1,24.3,0.114,0
-0.74,0.44,-0.32,-1,24.5,0.114,0
-0.71,0.45,-0.25,-1,24.3,0.114,0
-0.77,0.57,-0.24,-1,24.3,0.112,0
-0.81,0.5,-0.22,-1,24.3,0.114,0
-0.79,0.55,-0.18,-1,24.3,0.114,0
-0.77,0.59,-0.21,-1,24.3,0.112,0
-0.7,0.49,-0.33,-1,24.3,0.114,0
-0.72,0.42,-0.46,-1,24.3,0.114,0
