Dataset Events
Dataset,Marked on Device,Note,Start,End
ASD101_01_2019_07_03,TRUE,"",15:38:17,N/A
ASD101_01_2019_07_03,TRUE,"",15:44:57,N/A
ASD101_01_2019_07_03,TRUE,"",15:50:02,N/A

Dataset,Marked on Device,Note,Start,End
ASD101_02_part1_2019_07_12,TRUE,"",13:29:16,N/A

Dataset,Marked on Device,Note,Start,End
ASD101_02_part2_2019_07_12,TRUE,"",14:08:15,N/A

Dataset,Marked on Device,Note,Start,End
ASD101_03_2019_07_17,TRUE,"",13:21:05,N/A
ASD101_03_2019_07_17,TRUE,"",13:31:20,N/A
ASD101_03_2019_07_17,TRUE,"",13:52:56,N/A
ASD101_03_2019_07_17,TRUE,"",13:58:07,N/A
ASD101_03_2019_07_17,TRUE,"",13:58:16,N/A

Dataset,Marked on Device,Note,Start,End
ASD101_04_2019_09_08,TRUE,"",13:04:29,N/A
ASD101_04_2019_09_08,TRUE,"",13:04:34,N/A
ASD101_04_2019_09_08,TRUE,"",13:06:09,N/A
ASD101_04_2019_09_08,TRUE,"",13:34:33,N/A

Dataset,Marked on Device,Note,Start,End
ASD101_05_2019_09_15,TRUE,"",13:47:54,N/A

Dataset,Marked on Device,Note,Start,End
ASD101_06_2019_09_29,TRUE,"",13:31:46,N/A


Dataset,Marked on Device,Note,Start,End
ASD102_01_part2_2019_09_07,TRUE,"",14:18:30,N/A

Dataset,Marked on Device,Note,Start,End
ASD102_02_2019_09_14,TRUE,"",14:12:30,N/A


Dataset,Marked on Device,Note,Start,End
ASD102_03_part2_2019_09_21,TRUE,"",14:17:22,N/A

Dataset,Marked on Device,Note,Start,End
ASD102_04_2019_09_28,TRUE,"",14:35:24,N/A

Dataset,Marked on Device,Note,Start,End
ASD102_05_2019_10_05,TRUE,"",13:49:32,N/A
ASD102_05_2019_10_05,TRUE,"",14:24:05,N/A

Dataset,Marked on Device,Note,Start,End
ASD102_06_2019_10_12,TRUE,"",14:35:34,N/A
ASD102_06_2019_10_12,TRUE,"",14:35:38,N/A
ASD102_06_2019_10_12,TRUE,"",14:42:38,N/A


Dataset,Marked on Device,Note,Start,End
ASD102_07_part2_2019_10_19,TRUE,"",14:22:34,N/A

Dataset,Marked on Device,Note,Start,End
ASD103_01_part1_2019_08_03,TRUE,"",12:14:06,N/A
ASD103_01_part1_2019_08_03,TRUE,"",12:14:54,N/A

Dataset,Marked on Device,Note,Start,End
ASD103_01_part2_2019_08_03,TRUE,"",12:43:36,N/A







Dataset,Marked on Device,Note,Start,End
ASD103_04_part2_2019_09_14,TRUE,"",12:46:00,N/A


Dataset,Marked on Device,Note,Start,End
ASD103_05_part2_2019_09_21,TRUE,"",12:40:54,N/A

Dataset,Marked on Device,Note,Start,End
ASD103_06_2019_10_05_part1,TRUE,"",12:43:21,N/A

Dataset,Marked on Device,Note,Start,End
ASD103_06_2019_10_05_part2,TRUE,"",12:44:51,N/A
ASD103_06_2019_10_05_part2,TRUE,"",12:47:16,N/A

Dataset,Marked on Device,Note,Start,End
ASD104_01_2019_11_04,TRUE,"",17:02:41,N/A

Dataset,Marked on Device,Note,Start,End
ASD104_02_2019_11_11,TRUE,"",16:26:47,N/A

Dataset,Marked on Device,Note,Start,End
ASD104_03_2019_11_18,TRUE,"",16:30:34,N/A

Dataset,Marked on Device,Note,Start,End
ASD104_04_2019_11_25,TRUE,"",10:04:45,N/A
ASD104_04_2019_11_25,TRUE,"",10:04:47,N/A
ASD104_04_2019_11_25,TRUE,"",10:36:21,N/A
ASD104_04_2019_11_25,TRUE,"",10:36:24,N/A
ASD104_04_2019_11_25,TRUE,"",10:36:26,N/A
ASD104_04_2019_11_25,TRUE,"",10:36:28,N/A

Dataset,Marked on Device,Note,Start,End
ASD104_05_2019_11_27,TRUE,"",10:34:52,N/A

Dataset,Marked on Device,Note,Start,End
ASD104_06_2019_11_29,TRUE,"",10:33:44,N/A

